,id,dam,sire,year,yearP2,matass.match.P2.id..indiv..,patass.match.P2.id..indiv..
1,#19,NA,NA,1993,NA,NA,NA
2,87,NA,NA,1993,1993,NA,NA
3,30,NA,NA,1993,1993,NA,NA
4,#23,NA,NA,1995,NA,NA,NA
5,#18,NA,NA,1995,NA,NA,NA
6,2A,NA,NA,1996,1996,NA,NA
7,4D,NA,NA,1995,1995,NA,NA
8,1V,NA,NA,1994,1994,NA,NA
9,1W,NA,NA,1995,1995,NA,NA
10,9,NA,NA,1993,1993,NA,NA
11,69,NA,NA,1994,1994,NA,NA
12,2J,NA,NA,1995,1995,NA,NA
13,4I,NA,NA,1995,1995,NA,NA
14,94,NA,NA,1994,1994,NA,NA
15,1B,NA,NA,1995,1995,NA,NA
16,5J,NA,NA,1995,1995,NA,NA
17,8K,NA,NA,1996,1996,NA,NA
18,1P,NA,NA,1995,1995,NA,NA
19,3C,NA,NA,1995,1995,NA,NA
20,72,NA,NA,1994,1994,NA,NA
21,SF024,NA,NA,2011,2011,NA,NA
22,i6,NA,NA,1998,1998,NA,NA
23,3G,NA,NA,1995,1995,NA,NA
24,i7,NA,NA,1998,1998,NA,NA
25,9J,NA,NA,1997,1997,NA,NA
26,i8,NA,NA,1998,1998,NA,NA
27,Q3,NA,NA,1998,1998,NA,NA
28,i4,NA,NA,1998,1998,NA,NA
29,Q2,NA,NA,1998,1998,NA,NA
30,H8,NA,NA,1998,1998,NA,NA
31,D6,NA,NA,1997,1997,NA,NA
32,HF001,NA,NA,2000,2000,NA,NA
33,#29,NA,NA,2002,NA,NA,NA
34,#27,NA,NA,2002,NA,NA,NA
35,GF007,NA,NA,2003,2003,NA,NA
36,TF120,NA,NA,2004,2004,NA,NA
37,TF126,NA,NA,2004,2004,NA,NA
38,CF043,NA,NA,2003,2003,NA,NA
39,CF046,NA,NA,2003,2003,NA,NA
40,GF009,NA,NA,2003,2003,NA,NA
41,TF122,NA,NA,2004,2004,NA,NA
42,TF124,NA,NA,2004,2004,NA,NA
43,TF107,NA,NA,2004,2004,NA,NA
44,GF002,NA,NA,2003,2003,NA,NA
45,TF123,NA,NA,2004,2004,NA,NA
46,TF121,NA,NA,2004,2004,NA,NA
47,TF108,NA,NA,2004,2004,NA,NA
48,NF008,NA,NA,2005,2005,NA,NA
49,HF059,NA,NA,2003,2003,NA,NA
50,#31,NA,NA,2009,NA,NA,NA
51,YM005,NA,NA,2005,2005,NA,NA
52,*13,NA,NA,1993,NA,NA,NA
53,1M,NA,NA,1995,1995,NA,NA
54,10,NA,NA,1994,1994,NA,NA
55,1I,NA,NA,1995,1995,NA,NA
56,3Y,NA,NA,1995,1995,NA,NA
57,56,NA,NA,1994,1994,NA,NA
58,98,NA,NA,1994,1994,NA,NA
59,8R,NA,NA,1996,1996,NA,NA
60,1L,NA,NA,1995,1995,NA,NA
61,4Q,NA,NA,1994,1994,NA,NA
62,3R,NA,NA,1996,1996,NA,NA
63,2B,NA,NA,1995,1995,NA,NA
64,6V,NA,NA,1995,1995,NA,NA
65,8F,NA,NA,1996,1996,NA,NA
66,2W,NA,NA,1995,1995,NA,NA
67,2Y,NA,NA,1996,1996,NA,NA
68,4G,NA,NA,1994,1994,NA,NA
69,4Y,NA,NA,1994,1994,NA,NA
70,*33,NA,NA,1997,NA,NA,NA
71,2X,NA,NA,1995,1995,NA,NA
72,1F,NA,NA,1995,1995,NA,NA
73,5F,NA,NA,1995,1995,NA,NA
74,W3,NA,NA,1998,1998,NA,ColMBsib
75,2U,NA,NA,1995,1995,NA,NA
76,8C,NA,NA,1996,1996,NA,NA
77,9W,NA,NA,1997,1997,NA,NA
78,5I,NA,NA,1995,1995,NA,NA
79,65,NA,NA,1994,1994,NA,NA
80,2E,NA,NA,1995,1995,NA,NA
81,9X,NA,NA,1997,1997,NA,NA
