"X","id","dam","sire","sire_pack","dam_birth_dates","dam_birth_litter","dam_pack","dam_birth_pack","dam_immigrant","pup_birth_date","pup_birth_pack","pup_birth_litter","pup_litter_code","pup_conception_date","dam_parents_assigned","exp","prop_potential_sires","sire_parents_assigned","ds","relatedness"
114,"HF016","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"01-Jan-01","1H","H0101","1H.01-Jan-01","2000-11-02",1,FALSE,0.8,1,"C8 9Q",0
154,"HF039","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"27-Apr-02","1H","H0201","1H.27-Apr-02","2002-02-26",1,FALSE,0.875,1,"C8 9Q",0
163,"HM044","C8","C9","5B","17-Sep-97","B00","1H","1B",1,"30-Aug-02","1H","H0202","1H.30-Aug-02","2002-07-01",1,FALSE,0.909090909090909,1,"C8 C9",0
167,"HF045","C8","C9","5B","17-Sep-97","B00","1H","1B",1,"06-Nov-02","1H","H0203","1H.06-Nov-02","2002-09-07",1,FALSE,0.909090909090909,1,"C8 C9",0
169,"HF056","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"29-Apr-03","1H","H0302","1H.29-Apr-03","2003-02-28",1,FALSE,0.888888888888889,1,"C8 9Q",0
181,"HF071","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"14-Jan-04","1H","H0401","1H.14-Jan-04","2003-11-15",1,FALSE,0.8125,1,"C8 9Q",0
184,"HF079","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"24-Apr-04","1H","H0402","1H.24-Apr-04","2004-02-24",1,FALSE,0.823529411764706,1,"C8 9Q",0
185,"FF077","FF058","1F","4","07-Oct-02","F0203","4B","4B",0,"07-May-04","4B","F0402","4B.07-May-04","2004-03-08",1,FALSE,0.8125,0,"FF058 1F",0.5
187,"FM079","FF024","W9","4B","03-Nov-00","F0005","4B","4B",0,"07-May-04","4B","F0402","4B.07-May-04","2004-03-08",1,FALSE,0.8125,1,"FF024 W9",0.25
188,"FM083","FF058","FM014","4B","07-Oct-02","F0203","4B","4B",0,"07-May-04","4B","F0402","4B.07-May-04","2004-03-08",1,FALSE,0.8125,1,"FF058 FM014",0.5
192,"HF085","C8","9Q","1H","17-Sep-97","B00","1H","1B",1,"04-Jul-04","1H","H0403","1H.04-Jul-04","2004-05-05",1,FALSE,0.882352941176471,1,"C8 9Q",0
197,"FF104","FF067","FM014","4B","26-May-03","F0301","4B","4B",0,"10-May-05","4B","F0501","4B.10-May-05","2005-03-11",1,FALSE,1,1,"FF067 FM014",0
198,"FM097","FF058","FM014","4B","07-Oct-02","F0203","4B","4B",0,"10-May-05","4B","F0501","4B.10-May-05","2005-03-11",1,FALSE,1,1,"FF058 FM014",0.5
200,"FF122","FF067","FM014","4B","26-May-03","F0301","4B","4B",0,"28-Dec-05","4B","F0504","4B.28-Dec-05","2005-10-29",1,FALSE,0.941176470588235,1,"FF067 FM014",0
207,"DM093","DF024","DM023","11","29-Apr-03","D0301","11","11",0,"24-Nov-06","11","D0605","11.24-Nov-06","2006-09-25",1,FALSE,0.846153846153846,1,"DF024 DM023",0.25
212,"DF102","DF055","DM023","11","14-Oct-04","D0403","11","11",0,"12-May-07","11","D0701","11.12-May-07","2007-03-13",1,FALSE,0.833333333333333,1,"DF055 DM023",0.5
213,"DF110","DF006","BC","11","01-Dec-00","D0004","11","11",0,"12-May-07","11","D0701","11.12-May-07","2007-03-13",1,FALSE,0.833333333333333,1,"DF006 BC",0.25
214,"DF119","DF006","BC","11","01-Dec-00","D0004","11","11",0,"04-Oct-07","11","D0702","11.04-Oct-07","2007-08-05",1,FALSE,0.888888888888889,1,"DF006 BC",0.25
215,"DM114","DF055","DM023","11","14-Oct-04","D0403","11","11",0,"04-Oct-07","11","D0702","11.04-Oct-07","2007-08-05",1,FALSE,0.888888888888889,1,"DF055 DM023",0.5
220,"DM121","DF017","BC","11","17-Sep-02","D0203","11","11",0,"20-Dec-07","11","D0703","11.20-Dec-07","2007-10-21",1,FALSE,0.888888888888889,1,"DF017 BC",0
221,"DM124","DF006","DM023","11","01-Dec-00","D0004","11","11",0,"08-May-08","11","D0801","11.08-May-08","2008-03-09",1,FALSE,0.875,1,"DF006 DM023",0.25
249,"DF167","DF055","DM027","11","14-Oct-04","D0403","11","11",0,"28-Dec-09","11","D0905","11.28-Dec-09","2009-10-29",1,FALSE,0.833333333333333,1,"DF055 DM027",0.5
255,"DM170","DF055","DM027","11","14-Oct-04","D0403","11","11",0,"12-May-10","11","D1002","11.12-May-10","2010-03-13",1,FALSE,0.833333333333333,1,"DF055 DM027",0.5
