"","id","dam"
"1","HF016","C8"
"2","HF039","C8"
"3","HM044","C8"
"4","HF045","C8"
"5","HF056","C8"
"6","HF071","C8"
"7","HF079","C8"
"8","FF077","FF058"
"9","FM079","FF024"
"10","FM083","FF058"
"11","HF085","C8"
"12","FF104","FF067"
"13","FM097","FF058"
"14","FF122","FF067"
"15","DM093","DF024"
"16","DF102","DF055"
"17","DF110","DF006"
"18","DF119","DF006"
"19","DM114","DF055"
"20","DM121","DF017"
"21","DM124","DF006"
"22","DF167","DF055"
"23","DM170","DF055"
"24","DM179","DF055"
"25","DF190","DF055"
"26","DM191","DF055"
"27","DF200","DF055"
"28","DM213","DF055"
"29","DM219","DF055"
"30","HF015","M3"
"31","HF023","M3"
"32","HM041","M3"
"33","HM049","M3"
"34","HF055","M2"
"35","HF058","M2"
"36","KM024","AU"
"37","HF080","M3"
"38","FF086","FF017"
"39","KF028","AU"
"40","HF083","M3"
"41","HM087","HF033"
"42","FF093","FF017"
"43","KM046","AU"
"44","HM091","HF063"
"45","FF106","FF067"
"46","FF108","FF059"
"47","FM098","FF059"
"48","FM100","FF069"
"49","FM105","FF017"
"50","KM053","AU"
"51","HF100","HF039"
"52","BF272","BF202"
"53","BF274","BF203"
"54","FF119","FF058"
"55","FF123","FF059"
"56","FM121","FF017"
"57","HM131","HF039"
"58","BF348","BF202"
"59","HF132","HF039"
"60","FF144","FF058"
"61","BM354","BF202"
"62","HF148","HF039"
"63","FF146","FF058"
"64","HM165","HF039"
"65","FM149","FF058"
"66","FM157","FF058"
"67","DF187","DF130"
"68","DM189","DF137"
"69","DM205","DF130"
"70","DF216","DF130"
"71","DF235","DF208"
"72","DF223","DF130"
"73","HF050","HF031"
"74","HM051","C8"
"75","HM052","HF039"
"76","HF062","M2"
"77","HM060","HF031"
"78","BF164","BF100"
"79","BF170","BF099"
"80","BF171","BF137"
"81","BF208","BF148"
"82","BF221","BF100"
"83","BF222","BF137"
"84","BM199","BF135"
"85","BM201","BF100"
"86","BM211","BF135"
"87","HM078","C8"
"88","FF082","FF066"
"89","BF233","BF135"
"90","BF234","BF148"
"91","HM084","HF031"
"92","HM086","HF033"
"93","VF019","HF021"
"94","BP238","BF148"
"95","BF249","BF162"
"96","HF093","HF068"
"97","HM092","HF068"
"98","HM097","HF039"
"99","FF099","FF066"
"100","BF267","BF214"
"101","VM027","HF021"
"102","BM270","BF203"
"103","BF273","BF214"
"104","BM278","BF162"
"105","FM120","FF066"
"106","BF284","BF214"
"107","BF291","BF202"
"108","BM287","BF215"
"109","VF040","HF016"
"110","FF126","FF066"
"111","FM128","FF067"
"112","HF114","HF039"
"113","HF118","HF080"
"114","BF308","BF203"
"115","BF309","BF214"
"116","BM307","BF262"
"117","BM311","BF215"
"118","BF315","BF215"
"119","VF053","HF016"
"120","HF124","HF039"
"121","BM326","BF262"
"122","VF059","HF016"
"123","VF062","VF010"
"124","FM142","FF066"
"125","BF338","BF214"
"126","BF341","BF215"
"127","VF071","VF010"
"128","DF115","DF051"
"129","DF117","DF051"
"130","FF145","FF066"
"131","BF364","BF202"
"132","BF365","BF202"
"133","BM366","BF215"
"134","FM147","FF127"
"135","BF373","BF262"
"136","BF397","BF214"
"137","BM398","BF215"
"138","VF083","VF010"
"139","VM084","VF010"
"140","HM163","HF080"
"141","DM126","DF017"
"142","FF151","FF108"
"143","VF086","HF016"
"144","VF088","HF016"
"145","BF408","BF214"
"146","BF411","BF215"
"147","VM096","HF016"
"148","FF154","FF127"
"149","FM155","FF066"
"150","GF057","GF022"
"151","BM434","BF214"
"152","BM436","BF215"
"153","GF062","GF022"
